Date,BTC-USD,GLD,QQQ,SPY,^GSPC
2020-01-21,8745.89453125,146.74000549316406,214.94300842285156,301.9863586425781,3320.7900390625
2020-01-22,8680.8759765625,146.7899932861328,215.51095581054688,302.0228576660156,3321.75
2020-01-23,8406.515625,147.1199951171875,216.2041015625,302.3691711425781,3325.5400390625
2020-01-24,8445.4345703125,147.97999572753906,214.3847198486328,299.68017578125,3295.469970703125
2020-01-25,8367.84765625,,,,
2020-01-26,8596.830078125,,,,
2020-01-27,8909.8193359375,148.99000549316406,209.95648193359375,294.87646484375,3243.6298828125
2020-01-28,9358.58984375,147.66000366210938,213.1813201904297,297.9665832519531,3276.239990234375
2020-01-29,9316.6298828125,148.4600067138672,213.52793884277344,297.7203674316406,3273.39990234375
2020-01-30,9508.9931640625,148.47000122070312,214.28843688964844,298.6866455078125,3283.659912109375
2020-01-31,9350.529296875,149.3300018310547,210.89019775390625,293.2630615234375,3225.52001953125
2020-02-01,9392.875,,,,
2020-02-02,9344.365234375,,,,
2020-02-03,9293.521484375,148.36000061035156,214.0766143798828,295.441650390625,3248.919921875
2020-02-04,9180.962890625,146.42999267578125,218.97653198242188,299.9444885253906,3297.590087890625
2020-02-05,9613.423828125,146.61000061035156,219.69859313964844,303.4083557128906,3334.68994140625
2020-02-06,9729.8017578125,147.39999389648438,221.59498596191406,304.4293212890625,3345.780029296875
2020-02-07,9795.943359375,147.7899932861328,220.64199829101562,302.8066711425781,3327.7099609375
2020-02-08,9865.119140625,,,,
2020-02-09,10116.673828125,,,,
2020-02-10,9856.611328125,148.1699981689453,223.30857849121094,305.0673522949219,3352.090087890625
2020-02-11,10208.236328125,147.66000366210938,223.34703063964844,305.59588623046875,3357.75
2020-02-12,10326.0546875,147.5399932861328,225.52267456054688,307.5647888183594,3379.449951171875
2020-02-13,10214.3798828125,148.3800048828125,225.23385620117188,307.23675537109375,3373.93994140625
2020-02-14,10312.1162109375,149.0,225.87887573242188,307.7289733886719,3380.159912109375
2020-02-15,9889.4248046875,,,,
2020-02-16,9934.43359375,,,,
2020-02-17,9690.142578125,,,,
2020-02-18,10141.99609375,150.91000366210938,225.9655303955078,306.93597412109375,3370.2900390625
2020-02-19,9633.38671875,151.7899932861328,228.13150024414062,308.4034118652344,3386.14990234375
2020-02-20,9608.4755859375,152.41000366210938,226.01364135742188,307.136474609375,3373.22998046875
2020-02-21,9686.44140625,154.6999969482422,221.67201232910156,303.9735107421875,3337.75
2020-02-22,9663.181640625,,,,
2020-02-23,9924.515625,,,,
2020-02-24,9650.1748046875,156.08999633789062,213.1235809326172,293.8920593261719,3225.889892578125
2020-02-25,9341.705078125,153.3000030517578,207.32838439941406,284.9865417480469,3128.2099609375
2020-02-26,8820.5224609375,153.97000122070312,208.39691162109375,283.9382629394531,3116.389892578125
2020-02-27,8784.494140625,154.0,197.96160888671875,271.18609619140625,2978.760009765625
2020-02-28,8672.455078125,148.3800048828125,198.11570739746094,270.0467529296875,2954.219970703125
2020-02-29,8599.5087890625,,,,
2020-03-01,8562.4541015625,,,,
2020-03-02,8869.669921875,149.1999969482422,208.33912658691406,281.7414855957031,3090.22998046875
2020-03-03,8787.7861328125,153.88999938964844,201.65829467773438,273.6745300292969,3003.3701171875
2020-03-04,8755.24609375,154.16000366210938,210.07199096679688,285.177978515625,3130.1201171875
2020-03-05,9078.7626953125,157.49000549316406,203.68951416015625,275.6980895996094,3023.93994140625
